d8:50:e6:d5:55:b4, 10.116.99.42, faraday_0
00:26:55:42:98:a1, 10.116.99.43, faraday_1
00:26:55:42:9b:38, 10.116.99.44, faraday_2
00:24:81:92:06:31, 10.116.99.45, faraday_3
00:25:b3:cc:63:30, 10.116.99.46, faraday_4
00:22:64:a6:ac:79, 10.116.99.47, faraday_5
00:22:64:a6:ac:0f, 10.116.99.48, faraday_6
00:22:64:a7:34:3f, 10.116.99.49, faraday_7
00:26:55:42:9b:31, 10.116.99.50, faraday_8
00:25:b3:28:d9:56, 10.116.99.51, faraday_9
00:26:55:42:94:b3, 10.116.99.52, faraday_10
3C:52:82:73:02:59, 10.116.99.53, faraday_11
3C:52:82:73:2C:37, 10.116.99.54, faraday_12
3C:52:82:6F:63:63, 10.116.99.55, faraday_13
3C:52:82:75:9D:94, 10.116.99.56, faraday_14
3C:52:82:6F:68:87, 10.116.99.57, faraday_15
00:26:55:42:94:62, 10.116.99.58, faraday_16
00:26:55:42:98:8d, 10.116.99.59, faraday_17
00:26:55:42:95:7c, 10.116.99.60, faraday_18
00:26:55:42:9b:f5, 10.116.99.61, faraday_19
2c:41:38:a1:ec:8c, 10.116.99.62, faraday_20
2c:27:d7:40:49:9f, 10.116.99.63, faraday_21
2c:27:d7:1c:ae:df, 10.116.99.64, faraday_22
00:26:55:42:83:af, 10.116.99.65, faraday_23
08:2e:5f:28:dd:70, 10.116.99.66, faraday_24
00:25:b3:cc:63:27, 10.116.99.67, faraday_25
2c:41:38:a1:ec:85, 10.116.99.68, faraday_26
2c:41:38:ab:89:76, 10.116.99.69, faraday_27
2c:41:38:ab:89:80, 10.116.99.70, faraday_28
3C:52:82:73:02:57, 10.116.99.71, faraday_29
3C:52:82:73:D0:AC, 10.116.99.72, faraday_30
