00:13:72:87:6b:e1, 10.116.99.73, ohm_0
24:BE:05:1D:98:46, 10.116.99.74, ohm_1
78:E7:D1:C3:CE:66, 10.116.99.75, ohm_2
2c:44:fd:1c:49:bc, 10.116.99.76, ohm_3
2C:27:D7:39:23:15, 10.116.99.77, ohm_4
6C:3B:E5:0D:83:EB, 10.116.99.78, ohm_5
6C:3B:E5:0D:84:38, 10.116.99.79, ohm_6
2C:44:FD:19:89:09, 10.116.99.80, ohm_7
6C:3B:E5:0B:4F:18, 10.116.99.81, ohm_8
A0:48:1C:A9:DA:A6, 10.116.99.82, ohm_9
A0:48:1C:A9:DA:A8, 10.116.99.83, ohm_10
6C:3B:E5:0E:C1:64, 10.116.99.84, ohm_11
6C:3B:E5:0D:84:20, 10.116.99.85, ohm_12
